security,ARIMA_MSE_cumulative_return_test,ARIMA_MSE_cumulative_return_xval,ARIMA_MSE_price_test,ARIMA_MSE_price_xval,ARIMA_R2_cumulative_return_test,ARIMA_R2_cumulative_return_xval,ARIMA_R2_price_test,ARIMA_R2_price_xval,ARIMA_best_order_0,ARIMA_best_order_1,ARIMA_best_order_2,ARIMA_pred_cumulative_return_test,ARIMA_pred_cumulative_return_xval,cumulative_return_test,cumulative_return_xval
A,4.840642907068563e-05,0.0001485114442005693,11.752399677813562,5.356482775319748,-1.3407079364347099,-1.2554021806029585,-179.18412951268527,-26.078472823818714,0,0,0,-3.0874525158708366e-11,-4.497402450454047e-12,0.001246438746438816,0.020434208713114188
AA,0.0004030713239909295,0.00422588009100024,5.3983238051482525,3.502964258010826,-2.392027851360388,-2.0397462804785635,-44.236805943774854,-0.8923789026792168,0,1,0,0.003885071558411113,0.0032501873571235684,-0.01672454980358007,-0.08659906349141888
AAL,0.001021442033609185,0.005708204438649813,10.71846161190424,12.656813029694826,-0.05097258184509457,-3.186093722569116,-4.717227763615753,-3.2724360286689116,0,1,0,0.026703762304374212,0.022863681752742115,0.05965398723378823,-0.05878570995954291
AAP,0.0012508244731176293,0.002537777016482451,393.88399636464084,93.5832587541045,-15.170971891225399,-14.126832260237759,-248.64909033572727,-25.28769255134972,0,2,1,0.0908690437250721,0.05227883503916608,0.021915626989151393,-0.02141824015127669
AAPL,0.0012198857671230554,0.00012332015603482897,65.97348492062883,4.156295887576637,-1.61626672302001,-0.10124470680669373,-5.596612570089359,-0.7915050507562464,0,1,0,-0.0003714682824342841,-0.00030944187526316114,0.051172606109509466,0.020618526905405776
ABB,0.024093132157843422,0.010052937344694639,108.56300828385557,8.66766722655052,-1185.5372019856172,-182.1743543050291,-8826.682463118586,-267.78726723355135,4,2,0,0.26798496206742795,0.1929188175242258,0.0024379925868349694,0.018976938943894517
ABBV,6.841066617316653e-05,0.0002746229078049564,7.250223306516172,3.000769346498744,0.18691579815279757,-2.0679770961325374,-18.34597880874099,-6.910173623151987,4,1,2,-0.006907149996428719,-0.005950633937696348,-0.0215761918362658,0.023502289508518848
ABC,0.004756158720183977,0.0004984541147657822,93.07162541593767,6.7184877845526225,-8.357168737895963,-12.112494005748646,-25.792273397907064,-25.614789447890956,0,1,0,-0.027895100359165204,-0.02261506740988939,0.07487605116429297,0.014357663869374537
ABMD,7.139692446107801e-05,0.00030088302315151293,1.0775358487599056,4.052765345908114,-0.4147872901394394,-0.4233257736292093,-0.2655868282200009,-0.14921686024091851,0,1,0,0.010696541758108191,0.009010162149986511,0.007390923145669026,0.03964071571258221
ABT,0.00040143323446250055,3.499163909670786e-06,0.8396576445973005,0.028324496188343037,-4.338129703271198,0.3903810133374964,-4.841410367162581,-1.5769251557987412,1,1,0,-0.005645371187000925,-0.0033317146578608625,0.0032021957181564975,-0.003656307296906136
ABX,0.00017810753184172018,0.00035288290682458623,9.500959882430434,7.249025236791201,-0.1336793978291182,-1.0123585470470746,-229.14920399390996,-143.90891489987615,0,0,1,-1.5599121994114284e-10,0.000595594937611299,0.03022837940952372,-0.02841912542445968
ACC,0.0003991688382241296,0.000729519650706689,17.426011676601274,4.593576949488241,-2.5149985536847486,-7.108355942835292,-71.35392231967356,-21.138279869436698,0,1,0,0.011671207688161989,0.009840861211740659,-0.018074933996375275,-0.02969689196945291
ACGL,8.247401071988749e-05,5.651758944669248e-05,3.1151638376129656,6.128304093319724,-0.28433424125430884,-1.2247818518946803,-4.19646188136532,-24.899981925442646,0,0,0,2.988054248476146e-11,-4.665334785158848e-11,-0.013454801900596114,-0.00020727385333596526
ACM,0.00010562346580039588,0.0006248022728339113,2.088893081745996,0.4909593283062909,-0.039192844889998524,-6.366177154149157,-17.161009983531788,-3.815456249779479,5,0,1,0.0,0.016811916912508718,-0.012782402282473293,-0.013844794568491192
ACN,0.0018852134442127147,0.00020541136446628882,144.08942364174717,9.121694264560286,-214.75809204353075,-1.7173076700525258,-1138.4817990829622,-7.56567484835106,0,2,1,0.08309101356364246,0.04769432751423697,0.004156275873077098,0.016766349030813865
